Well-No.	Plate-ID	Image-No.	Control	Field-of-View	X-Coord	Y-Coord	Classes
15023000	VAMP_DEG_BIN1_Pl54_20140222	Z:/WIEBKE_SANTOSH/20140222/image_data_plate_maps/VAMP_DEG_BIN1_Pl54_20140222/Meas_01(2014-02-22_13-31-22)/015023000.flex	ERGIC	9	513	449	8
12007000	VAMP_DEG_BIN1_Pl53_20140219	Z:/WIEBKE_SANTOSH/20140219/image_data_plate_maps/VAMP_DEG_BIN1_Pl53_20140219/Meas_01(2014-02-19_10-36-09)/012007000.flex	ERGIC	14	242	293	8
4019000	VAMP_deg_20131010_ERGIC53	Z:/WIEBKE_SANTOSH/20131010/image_data_plate_maps/VAMP_DEG_20131010/Meas_01(2013-10-10_14-41-33)/004019000.flex	ERGIC	7	574	354	8
14007000	VAMP_DEG_BIN1_Pl53_20140219	Z:/WIEBKE_SANTOSH/20140219/image_data_plate_maps/VAMP_DEG_BIN1_Pl53_20140219/Meas_01(2014-02-19_10-36-09)/014007000.flex	ERGIC	18	594	69	9
9017000	VAMP_deg_20131010_ERGIC53	Z:/WIEBKE_SANTOSH/20131010/image_data_plate_maps/VAMP_DEG_20131010/Meas_01(2013-10-10_14-41-33)/009017000.flex	ERGIC	8	442	194	9
2013000	VAMP_deg_20131010_ERGIC53	Z:/WIEBKE_SANTOSH/20131010/image_data_plate_maps/VAMP_DEG_20131010/Meas_01(2013-10-10_14-41-33)/002013000.flex	ERGIC	11	410	183	9
9023000	VAMP_DEG_BIN1_Pl54_20140222	Z:/WIEBKE_SANTOSH/20140222/image_data_plate_maps/VAMP_DEG_BIN1_Pl54_20140222/Meas_01(2014-02-22_13-31-22)/009023000.flex	ERGIC	2	473	397	9
15009000	VAMP_deg_20131010_ERGIC53	Z:/WIEBKE_SANTOSH/20131010/image_data_plate_maps/VAMP_DEG_20131010/Meas_01(2013-10-10_14-41-33)/015009000.flex	ERGIC	10	117	253	9
15006000	VAMP_DEG_BIN1_PL57_20140301	Z:/WIEBKE_SANTOSH/20140301/image_data_plate_maps/VAMP_DEG_BIN1_PL57_20140301/Meas_01(2014-03-01_11-54-11)/015006000.flex	ERGIC	14	56	378	10
11007000	VAMP_DEG_BIN1_Pl53_20140219	Z:/WIEBKE_SANTOSH/20140219/image_data_plate_maps/VAMP_DEG_BIN1_Pl53_20140219/Meas_01(2014-02-19_10-36-09)/011007000.flex	ERGIC	17	193	419	10
8018000	VAMP_deg_20131010_ERGIC53	Z:/WIEBKE_SANTOSH/20131010/image_data_plate_maps/VAMP_DEG_20131010/Meas_01(2013-10-10_14-41-33)/008018000.flex	ERGIC	3	312	396	10
12015000	VAMP_deg_20131010_ERGIC53	Z:/WIEBKE_SANTOSH/20131010/image_data_plate_maps/VAMP_DEG_20131010/Meas_01(2013-10-10_14-41-33)/012015000.flex	ERGIC	2	94	427	10
13020000	VAMP_DEG_BIN1_Pl53_20140225	Z:/WIEBKE_SANTOSH/20140225/image_data_plate_maps/VAMP_DEG_BIN1_Pl53_20140225/Meas_01(2014-02-25_10-13-25)/013020000.flex	ERGIC	16	370	197	10
4004000	VAMP_DEG_BIN1_PL58_20140301	Z:/WIEBKE_SANTOSH/20140301/image_data_plate_maps/VAMP_DEG_BIN1_PL58_20140301/Meas_01(2014-03-01_10-06-50)/004004000.flex	ERGIC	18	483	288	11
13007000	VAMP_DEG_BIN1_Pl65_20140327	Z:/WIEBKE_SANTOSH/20140327/image_data_plate_maps/VAMP_DEG_BIN1_Pl65_20140327/Meas_01(2014-03-27_19-11-34)/013007000.flex	ERGIC	15	594	66	11
16006000	VAMP_DEG_BIN1_PL57_20140301	Z:/WIEBKE_SANTOSH/20140301/image_data_plate_maps/VAMP_DEG_BIN1_PL57_20140301/Meas_01(2014-03-01_11-54-11)/016006000.flex	ERGIC	4	506	245	11
2009000	VAMP_DEG_IF_20130628	Z:/WIEBKE_SANTOSH/20130628/Images_data_plate_maps/VAMP_DEG_IF_20130628/Meas_01(2013-06-28_12-32-43)/ergic53/002009000.flex	ERGIC	2	401	185	11
13011000	VAMP_deg_20131010_ERGIC53	Z:/WIEBKE_SANTOSH/20131010/image_data_plate_maps/VAMP_DEG_20131010/Meas_01(2013-10-10_14-41-33)/013011000.flex	ERGIC	5	565	236	11
3018000	VAMP_deg_20131010_ERGIC53	Z:/WIEBKE_SANTOSH/20131010/image_data_plate_maps/VAMP_DEG_20131010/Meas_01(2013-10-10_14-41-33)/003018000.flex	ERGIC	1	362	443	12
13015000	VAMP_deg_20131010_ERGIC53	Z:/WIEBKE_SANTOSH/20131010/image_data_plate_maps/VAMP_DEG_20131010/Meas_01(2013-10-10_14-41-33)/013015000.flex	ERGIC	8	381	308	12
16008000	VAMP_deg_20131010_ERGIC53	Z:/WIEBKE_SANTOSH/20131010/image_data_plate_maps/VAMP_DEG_20131010/Meas_01(2013-10-10_14-41-33)/016008000.flex	ERGIC	4	115	239	12
2014000	VAMP_deg_20131010_ERGIC53	Z:/WIEBKE_SANTOSH/20131010/image_data_plate_maps/VAMP_DEG_20131010/Meas_01(2013-10-10_14-41-33)/002014000.flex	ERGIC	20	562	77	12
11017000	VAMP_deg_20131010_ERGIC53	Z:/WIEBKE_SANTOSH/20131010/image_data_plate_maps/VAMP_DEG_20131010/Meas_01(2013-10-10_14-41-33)/011017000.flex	ERGIC	12	77	359	12
2017	2015-10-30 plate117	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate117/002017.flex	FL-VAMP5	12	377	168	13
6023000	2015-10-30 plate116	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate116/Meas_02(2015-10-30_12-17-25)/006023000.flex	FL-VAMP5	20	75	284	13
2017	2015-10-30 plate117	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate117/002017.flex	FL-VAMP5	8	68	295	13
6017	2015-10-30 plate117	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate117-3/006017.flex	FL-VAMP5	15	107	55	13
5023000	2015-10-30 plate116	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate116/Meas_02(2015-10-30_12-17-25)/005023000.flex	FL-VAMP5	14	74	131	13
6011000	2015-10-29 plate115	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-29 plate115/Meas_01(2015-10-29_17-26-32)/006011000.flex	FL-VAMP5	4	415	421	14
7024000	2015-10-30 plate116	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate116/Meas_02(2015-10-30_12-17-25)/007024000.flex	FL-VAMP5	7	58	358	14
7018	2015-10-30 plate117	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate117-3/007018.flex	FL-VAMP5	15	169	186	14
8024000	2015-10-30 plate116	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate116/Meas_02(2015-10-30_12-17-25)/008024000.flex	FL-VAMP5	20	215	122	14
6008000	2015-10-29 plate115	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-29 plate115/Meas_01(2015-10-29_17-26-32)/006008000.flex	FL-VAMP5	20	520	213	14
6023000	2015-10-30 plate116	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate116/Meas_02(2015-10-30_12-17-25)/006023000.flex	FL-VAMP5	20	75	284	15
6011000	2015-10-29 plate115	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-29 plate115/Meas_01(2015-10-29_17-26-32)/006011000.flex	FL-VAMP5	4	415	421	15
1010000	2015-10-29 plate115	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-29 plate115/Meas_01(2015-10-29_17-26-32)/001010000.flex	FL-VAMP5	16	538	292	15
6007000	2015-10-29 plate115	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-29 plate115/Meas_01(2015-10-29_17-26-32)/006007000.flex	FL-VAMP5	19	533	71	15
6007000	2015-10-29 plate115	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-29 plate115/Meas_01(2015-10-29_17-26-32)/006007000.flex	FL-VAMP5	15	573	303	15
6023000	2015-10-30 plate116	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate116/Meas_02(2015-10-30_12-17-25)/006023000.flex	FL-VAMP5	20	75	284	16
6017	2015-10-30 plate117	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate117-3/006017.flex	FL-VAMP5	15	107	55	16
5023000	2015-10-30 plate116	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate116/Meas_02(2015-10-30_12-17-25)/005023000.flex	FL-VAMP5	18	86	37	16
8011000	2015-10-29 plate115	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-29 plate115/Meas_01(2015-10-29_17-26-32)/008011000.flex	FL-VAMP5	10	280	304	16
7007000	2015-10-29 plate115	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-29 plate115/Meas_01(2015-10-29_17-26-32)/007007000.flex	FL-VAMP5	16	100	427	16
6011000	2015-10-29 plate115	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-29 plate115/Meas_01(2015-10-29_17-26-32)/006011000.flex	FL-VAMP5	4	415	421	17
1024000	2015-10-30 plate116	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate116/Meas_02(2015-10-30_12-17-25)/001024000.flex	FL-VAMP5	17	154	116	17
8011000	2015-10-29 plate115	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-29 plate115/Meas_01(2015-10-29_17-26-32)/008011000.flex	FL-VAMP5	10	280	304	17
8024000	2015-10-30 plate116	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate116/Meas_02(2015-10-30_12-17-25)/008024000.flex	FL-VAMP5	20	215	122	17
6023000	2015-10-30 plate116	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate116/Meas_02(2015-10-30_12-17-25)/006023000.flex	FL-VAMP5	20	75	284	17
6023000	2015-10-30 plate116	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate116/Meas_02(2015-10-30_12-17-25)/006023000.flex	FL-VAMP5	20	75	284	18
2017	2015-10-30 plate117	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate117/002017.flex	FL-VAMP5	12	377	168	18
3017	2015-10-30 plate117	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate117/003017.flex	FL-VAMP5	14	439	321	18
6011000	2015-10-29 plate115	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-29 plate115/Meas_01(2015-10-29_17-26-32)/006011000.flex	FL-VAMP5	4	415	421	18
7024000	2015-10-30 plate116	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate116/Meas_02(2015-10-30_12-17-25)/007024000.flex	FL-VAMP5	7	58	358	18
8012	2015-10-30 plate117	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate117-4/008012.flex	FL_VAMP2	1	258	180	19
7012	2015-10-30 plate117	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate117-3/007012.flex	FL_VAMP2	13	583	131	19
6005000	2015-10-29 plate114	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-29 plate114/Meas_01(2015-10-29_12-10-36)/006005000.flex	FL_VAMP2	17	209	261	19
4020000	2015-10-30 plate116	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate116/Meas_02(2015-10-30_12-17-25)/004020000.flex	FL_VAMP2	1	154	291	19
2012	2015-10-30 plate117	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate117/002012.flex	FL_VAMP2	8	511	237	19
8012	2015-10-30 plate117	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate117-4/008012.flex	FL_VAMP2	4	343	286	20
8012	2015-10-30 plate117	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate117-4/008012.flex	FL_VAMP2	1	258	180	20
6005000	2015-10-29 plate114	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-29 plate114/Meas_01(2015-10-29_12-10-36)/006005000.flex	FL_VAMP2	14	516	282	20
3012	2015-10-30 plate117	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate117/003012.flex	FL_VAMP2	3	391	403	20
2013	2015-10-30 plate117	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate117/002013.flex	FL_VAMP2	3	375	238	20
7012	2015-10-30 plate117	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate117-3/007012.flex	FL_VAMP2	13	583	131	21
8014	2015-10-30 plate117	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate117-4/008014.flex	FL_VAMP2	13	170	182	21
6020000	2015-10-30 plate116	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate116/Meas_02(2015-10-30_12-17-25)/006020000.flex	FL_VAMP2	10	295	216	21
2013	2015-10-30 plate117	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate117/002013.flex	FL_VAMP2	3	421	293	21
6005000	2015-10-29 plate114	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-29 plate114/Meas_01(2015-10-29_12-10-36)/006005000.flex	FL_VAMP2	5	256	63	21
2012	2015-10-30 plate117	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate117/002012.flex	FL_VAMP2	2	471	114	22
8012	2015-10-30 plate117	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate117-4/008012.flex	FL_VAMP2	11	230	295	22
8004000	2015-10-29 plate114	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-29 plate114/Meas_01(2015-10-29_12-10-36)/008004000.flex	FL_VAMP2	7	329	152	22
5012	2015-10-30 plate117	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate117-2/005012.flex	FL_VAMP2	4	138	195	22
5004000	2015-10-29 plate114	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-29 plate114/Meas_01(2015-10-29_12-10-36)/005004000.flex	FL_VAMP2	11	443	152	22
8012	2015-10-30 plate117	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate117-4/008012.flex	FL_VAMP2	1	258	180	23
8014	2015-10-30 plate117	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate117-4/008014.flex	FL_VAMP2	5	184	181	23
6012	2015-10-30 plate117	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate117-3/006012.flex	FL_VAMP2	11	315	375	23
3014	2015-10-30 plate117	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate117/003014.flex	FL_VAMP2	1	294	433	23
7014	2015-10-30 plate117	Z:/WIEBKE_SANTOSH/Ottawa/2015-10-30 plate117-3/007014.flex	FL_VAMP2	6	378	265	23
8019000	VAMP_DEG_BIN1_Pl78_20140618	Z:/WIEBKE_SANTOSH/20140618/image_data_plate_maps/VAMP_DEG_BIN1_Pl78_20140618/PLATE78_Meas_01(2014-06-18_10-27-39)/008019000.flex	GOLGI-GT	18	463	455	24
5021000	VAMP_DEG_BIN1_Pl75_20140610	Z:/WIEBKE_SANTOSH/20140610/image_data_plate_maps/VAMP_DEG_BIN1_Pl75_20140610/Meas_01(2014-06-10_08-05-57)/005021000.flex	GOLGI-GT	8	117	104	24
5018000	VAMP_DEG_BIN1_Pl78_20140618	Z:/WIEBKE_SANTOSH/20140618/image_data_plate_maps/VAMP_DEG_BIN1_Pl78_20140618/PLATE78_Meas_01(2014-06-18_10-27-39)/005018000.flex	GOLGI-GT	16	208	275	24
6023000	VAMP_DEG_BIN1_Pl78_20140618	Z:/WIEBKE_SANTOSH/20140618/image_data_plate_maps/VAMP_DEG_BIN1_Pl78_20140618/PLATE78_Meas_01(2014-06-18_10-27-39)/006023000.flex	GOLGI-GT	13	440	331	24
9016000	VAMP_DEG_BIN1_Pl78_20140618	Z:/WIEBKE_SANTOSH/20140618/image_data_plate_maps/VAMP_DEG_BIN1_Pl78_20140618/PLATE78_Meas_01(2014-06-18_10-27-39)/009016000.flex	GOLGI-GT	20	171	146	24
3020000	VAMP_DEG_BIN1_Pl78_20140618	Z:/WIEBKE_SANTOSH/20140618/image_data_plate_maps/VAMP_DEG_BIN1_Pl78_20140618/PLATE78_Meas_01(2014-06-18_10-27-39)/003020000.flex	GOLGI-GT	12	530	67	25
8020000	VAMP_DEG_BIN1_Pl78_20140618	Z:/WIEBKE_SANTOSH/20140618/image_data_plate_maps/VAMP_DEG_BIN1_Pl78_20140618/PLATE78_Meas_01(2014-06-18_10-27-39)/008020000.flex	GOLGI-GT	18	388	119	25
5021000	VAMP_DEG_BIN1_Pl78_20140618	Z:/WIEBKE_SANTOSH/20140618/image_data_plate_maps/VAMP_DEG_BIN1_Pl78_20140618/PLATE78_Meas_01(2014-06-18_10-27-39)/005021000.flex	GOLGI-GT	4	346	206	25
12014000	VAMP_DEG_BIN1_Pl78_20140618	Z:/WIEBKE_SANTOSH/20140618/image_data_plate_maps/VAMP_DEG_BIN1_Pl78_20140618/PLATE78_Meas_01(2014-06-18_10-27-39)/012014000.flex	GOLGI-GT	20	288	67	25
7024000	VAMP_DEG_BIN1_Pl78_20140618	Z:/WIEBKE_SANTOSH/20140618/image_data_plate_maps/VAMP_DEG_BIN1_Pl78_20140618/PLATE78_Meas_01(2014-06-18_10-27-39)/007024000.flex	GOLGI-GT	3	522	298	25
3021000	VAMP_DEG_BIN1_Pl78_20140618	Z:/WIEBKE_SANTOSH/20140618/image_data_plate_maps/VAMP_DEG_BIN1_Pl78_20140618/PLATE78_Meas_01(2014-06-18_10-27-39)/003021000.flex	GOLGI-GT	11	597	290	26
5019000	VAMP_DEG_BIN1_Pl75_20140610	Z:/WIEBKE_SANTOSH/20140610/image_data_plate_maps/VAMP_DEG_BIN1_Pl75_20140610/Meas_01(2014-06-10_08-05-57)/005019000.flex	GOLGI-GT	18	259	98	26
5021000	VAMP_DEG_BIN1_Pl75_20140610	Z:/WIEBKE_SANTOSH/20140610/image_data_plate_maps/VAMP_DEG_BIN1_Pl75_20140610/Meas_01(2014-06-10_08-05-57)/005021000.flex	GOLGI-GT	8	117	104	26
3020000	VAMP_DEG_BIN1_Pl78_20140618	Z:/WIEBKE_SANTOSH/20140618/image_data_plate_maps/VAMP_DEG_BIN1_Pl78_20140618/PLATE78_Meas_01(2014-06-18_10-27-39)/003020000.flex	GOLGI-GT	12	530	67	26
2023000	VAMP_DEG_BIN1_Pl78_20140618	Z:/WIEBKE_SANTOSH/20140618/image_data_plate_maps/VAMP_DEG_BIN1_Pl78_20140618/PLATE78_Meas_01(2014-06-18_10-27-39)/002023000.flex	GOLGI-GT	14	61	80	26
